step,starting_modules,modules,move_type,energy,mc_outcome
1,"[[0 5]
 [1 3]
 [2 3]
 [1 5]
 [0 2]
 [4 2]
 [6 2]
 [1 2]]","[[5 4]
 [0 5]
 [7 4]
 [8 5]
 [1 3]
 [2 0]
 [1 0]
 [2 4]
 [0 2]
 [1 2]
 [0 5]
 [1 2]
 [3 5]
 [1 2]
 [0 2]
 [1 0]]",T6,1.3888888888888888e+18,cR
2,"[[0 5]
 [1 3]
 [2 3]
 [1 5]
 [0 2]
 [4 2]
 [6 2]
 [1 2]]","[[0 2]
 [4 3]
 [2 0]
 [1 5]
 [6 5]
 [1 2]
 [0 2]
 [1 5]]",T2,-24.035839367777776,A
